order_id,customer_id,product_id,product_name,category,order_date,time,branch,city,quantity,price,tax,total_amount,payment_method,order_status,customer_rating,extra_column
ORDT3DU5QA9,CUSTG8RE4H3E,PRODV5SMJGU0,Lamp,Electronics,28-05-2024,09:10:43,B,Phoenix,6,166.35,16.64,1014.74,Credit Card,Cancelled,3,Unnecessary
ORDA0EFZBAN,CUSTXM3XMHYD,PRODVPUGXS8C,Sofa,Books,12-04-2024,13:22:00,C,Houston,8,199.75,19.98,1617.98,Debit Card,Pending,2,Unnecessary
ORDYM6WFOZG,CUSTKJGIT1TW,PRODWTR8J78F,Chair,Toys,07-07-2024,20:30:06,B,Los Angeles,8,373.95,37.4,3029,Credit Card,Cancelled,5,Unnecessary
ORDDIC8P28J,CUSTD961JFYS,PROD4UX379ZE,Curtains,Toys,04-06-2024,09:00:44,B,Los Angeles,5,275.66,27.57,1405.87,Credit Card,Cancelled,5,Unnecessary
ORDDTTYQ1WG,CUSTNDT87RZ3,PRODJ13XYSS8,Jeans,Home,27-08-2024,08:50:24,B,Houston,9,359.69,35.97,3273.18,Net Banking,Cancelled,3,Unnecessary
ORDS1GRJWH5,CUSTTH7EHNNW,PROD1SUCSCME,Lamp,Electronics,21-09-2024,00:45:55,C,Chicago,10,290.33,29.03,2932.33,Net Banking,Cancelled,1,Unnecessary
ORDSFVOE0KS,CUST59BX9DNW,PROD8EJ1FFP5,Smartphone,Home,09-01-2024,04:01:20,A,Los Angeles,7,13.66,1.37,96.99,PayPal,Pending,5,Unnecessary
ORD8MKNR9AL,CUSTHTHT1V1X,PROD2ZDPKPVA,Tablet,Books,09-12-2023,06:20:09,A,Phoenix,2,430.95,43.09,904.99,Net Banking,Cancelled,0,Unnecessary
ORDS5CENF95,CUST075LWHY7,PRODB8D8IDF6,T-Shirt,Home,08-07-2024,05:41:31,B,New York,10,281.78,28.18,2845.98,Debit Card,Pending,0,Unnecessary
ORD4WW1GSHG,CUSTPC782N9B,PRODJSDWZEVE,Curtains,Home,08-10-2024,20:58:47,C,Houston,9,296.61,29.66,2699.15,PayPal,Shipped,1,Unnecessary
ORDFSY0RLIQ,CUST5N9GPV44,PRODKNTB9E49,Puzzle,Toys,08-05-2024,07:22:18,B,Houston,10,389.6,38.96,3934.96,PayPal,Cancelled,0,Unnecessary
ORDWFJ6PH2Q,CUSTR2SVPFN4,PRODJPUO19S9,Boots,Clothing,04-06-2024,20:44:45,C,Los Angeles,7,248.68,24.87,1765.63,Credit Card,Cancelled,5,Unnecessary
ORDZEP4TRYR,CUST5WCYI9EZ,PRODMFECBYCV,Laptop,Books,01-12-2023,18:30:45,C,New York,5,383.45,38.34,1955.59,Net Banking,Delivered,0,Unnecessary
ORDEOSU510C,CUSTI4SWVQLX,PRODJT99GBBI,E-Book,Clothing,18-09-2024,14:16:07,C,Houston,6,404.46,40.45,2467.21,Net Banking,Delivered,1,Unnecessary
ORD9NNV9ICT,CUSTHCJLW8SA,PRODMTKCU9RL,E-Book,Electronics,12-09-2024,23:05:32,C,New York,3,128.86,12.89,399.47,Net Banking,Shipped,3,Unnecessary
ORDROD3XN1V,CUST9P2H89GB,PROD71U59SEH,Jeans,Clothing,03-07-2024,07:07:59,C,New York,4,431.54,43.15,1769.31,Credit Card,Cancelled,5,Unnecessary
ORDACSWVYCP,CUSTCSDODH09,PRODOVAAD9QN,Dining Table,Clothing,31-05-2024,03:43:17,B,New York,10,73.45,7.35,741.85,Net Banking,Pending,0,Unnecessary
ORDBIZ6BSK6,CUSTXXU86MYL,PROD2GABI3V8,Puzzle,Home,05-06-2024,02:22:21,C,New York,6,234.78,23.48,1432.16,Debit Card,Delivered,2,Unnecessary
